experiment_id,dataset,method,T,repeat,init_seed,predict_seed,mpiw95,picp95,ll,rmse,mean_std_epistemic,mean_var_epistemic,timestamp,git_commit
e6a,sin_homo,bbb,200,4,0,4000,0.8122646137564352,0.677,-2.1813351029659613,0.5014382861112773,0.12826249506322782,0.01704699016016692,2026-08-31T19:39:07.444735+00:00,1806733
e6a,sin_homo,bbb,200,5,0,5000,0.823508829217247,0.677,-2.121607324000645,0.5027579881472057,0.13235932185107083,0.01835810924525416,2026-08-31T19:39:07.627598+00:00,1806733
e6a,sin_homo,bbb,200,6,0,6000,0.816986269245157,0.678,-2.118961174564264,0.49919188427674227,0.12943141862552834,0.01769215098935207,2026-08-31T19:39:07.792917+00:00,1806733
e6a,sin_homo,bbb,200,7,0,7000,0.8042179662626946,0.677,-2.163045708078802,0.4952442542411015,0.12449502022970076,0.01624461090895201,2026-08-31T19:39:07.971616+00:00,1806733
e6a,sin_homo,bbb,200,8,0,8000,0.8141449323212785,0.678,-2.0666249784357795,0.49193945306683023,0.12855692691176182,0.01732360817065019,2026-08-31T19:39:08.139337+00:00,1806733
e6a,sin_homo,bbb,200,9,0,9000,0.8255341535211184,0.679,-2.0573950739650426,0.4971904938012286,0.1334220141780148,0.01852333109449009,2026-08-31T19:39:08.308308+00:00,1806733
e6a,sin_homo,bbb,500,0,0,0,0.822282211093132,0.681,-2.107305284983846,0.4957565619094213,0.1318137634461318,0.01822111955277401,2026-08-31T19:39:08.723574+00:00,1806733
e6a,sin_homo,bbb,500,1,0,1000,0.8141480412488709,0.681,-2.090478130000851,0.49063689636720675,0.12848416801597126,0.017338981982635573,2026-08-31T19:39:09.120625+00:00,1806733
e6a,sin_homo,bbb,500,2,0,2000,0.8130417003084951,0.679,-2.219456616039059,0.4963578262944551,0.12810672072127693,0.017191926672909787,2026-08-31T19:39:09.521935+00:00,1806733
e6a,sin_homo,bbb,500,3,0,3000,0.799078331038092,0.677,-2.2168034329426805,0.4945072524809642,0.12285366476553261,0.015621133915680702,2026-08-31T19:39:09.972372+00:00,1806733
e6a,sin_homo,bbb,500,4,0,4000,0.8094181576887514,0.677,-2.188132090291942,0.5004982089772286,0.1270346545605095,0.01674619686290508,2026-08-31T19:39:10.355219+00:00,1806733
e6a,sin_homo,bbb,500,5,0,5000,0.8222827870369862,0.679,-2.1123801685929546,0.4977973753999836,0.13166665730221574,0.018250240644686406,2026-08-31T19:39:10.733474+00:00,1806733
e6a,sin_homo,bbb,500,6,0,6000,0.8079941182013254,0.677,-2.1405926377420523,0.49870084685532823,0.12626751577458936,0.01662654588445262,2026-08-31T19:39:11.121524+00:00,1806733
e6a,sin_homo,bbb,500,7,0,7000,0.8061979258856765,0.679,-2.11929987705307,0.4925123164728491,0.1253544506568433,0.016456504084425873,2026-08-31T19:39:11.486292+00:00,1806733
e6a,sin_homo,bbb,500,8,0,8000,0.8166402268699683,0.677,-2.1340780956221304,0.4949368047328292,0.1296136890381078,0.017584027573851222,2026-08-31T19:39:11.850934+00:00,1806733
e6a,sin_homo,bbb,500,9,0,9000,0.8223745735454204,0.68,-2.1138259572781566,0.49524836469980377,0.1318286648292926,0.01823225123927121,2026-08-31T19:39:12.319481+00:00,1806733
e6a,sin_gap,mcd,2,0,0,0,0.9676044084072941,0.721,-2.062280629603101,0.5460150716214773,0.11282113434408651,0.020825168574866593,2026-08-31T19:39:19.363247+00:00,1806733
e6a,sin_gap,mcd,2,1,0,1000,0.9722611297083134,0.714,-2.010012713709833,0.5389199823185928,0.11454025533802217,0.021562075369707733,2026-08-31T19:39:19.389052+00:00,1806733
e6a,sin_gap,mcd,2,2,0,2000,0.9581900201190579,0.721,-2.0022124552149148,0.5384523239335995,0.10772233268046529,0.019483053626256984,2026-08-31T19:39:19.415883+00:00,1806733
e6a,sin_gap,mcd,2,3,0,3000,0.9638495455579008,0.727,-1.9602731706090768,0.5411632045187367,0.1107130612916644,0.020300674756228095,2026-08-31T19:39:19.442747+00:00,1806733
e6a,sin_gap,mcd,2,4,0,4000,0.9665843945363048,0.726,-2.050748608175385,0.5395941174983045,0.11251672331010774,0.02086356657151448,2026-08-31T19:39:19.467863+00:00,1806733
e6a,sin_gap,mcd,2,5,0,5000,0.9573499495290568,0.718,-2.0715292537894827,0.5409927346987137,0.10683267596903036,0.019636483226454643,2026-08-31T19:39:19.493978+00:00,1806733
e6a,sin_gap,mcd,2,6,0,6000,0.9682799291986728,0.726,-2.0257213239993144,0.5384030269844807,0.11251199388619759,0.02113960523705047,2026-08-31T19:39:19.535302+00:00,1806733
e6a,sin_gap,mcd,2,7,0,7000,0.9610239191797347,0.712,-1.9488897948597932,0.5369423453228885,0.10944754610643845,0.019580327432493227,2026-08-31T19:39:19.562770+00:00,1806733
e6a,sin_gap,mcd,2,8,0,8000,0.9630988538832534,0.726,-2.0036698246500437,0.5335303226934206,0.11044900122651086,0.020163785649434673,2026-08-31T19:39:19.590370+00:00,1806733
e6a,sin_gap,mcd,2,9,0,9000,0.9691535247692858,0.72,-2.061973369230357,0.5414950838427582,0.11152747710433704,0.021371665802402462,2026-08-31T19:39:19.617380+00:00,1806733
e6a,sin_gap,mcd,5,0,0,0,0.9796222671168638,0.728,-1.7288111294421797,0.5361957232068675,0.13171657854864827,0.020671152050293046,2026-08-31T19:39:19.647039+00:00,1806733
e6a,sin_gap,mcd,5,1,0,1000,0.9823381823178136,0.731,-1.6845315755207142,0.5285140108217059,0.132982582049595,0.021056629659222052,2026-08-31T19:39:19.676164+00:00,1806733
