dataset,method,epochs,seed,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,train_time_s,timestamp,git_commit
kin8nm,map,500,1,5898,1475,7373,128,47,23500,0.2197890351632543,-0.2197890351632543,0.2945329813134588,0.0649112179807856,0.0,38.32350940001197,2026-08-26T23:32:05.195468+00:00,1806733
kin8nm,map,500,2,5898,1475,7373,128,47,23500,0.12414787480387371,-0.12414787480387371,0.2738191284372858,0.07173142287051783,0.0,38.56583380000666,2026-08-26T23:32:43.784252+00:00,1806733
kin8nm,map,1000,0,5898,1475,7373,128,47,47000,0.16731863359839128,-0.16731863359839128,0.283581120787816,0.06715159321077913,0.0,76.72522519994527,2026-08-26T23:34:00.532555+00:00,1806733
kin8nm,map,1000,1,5898,1475,7373,128,47,47000,0.18099583995628687,-0.18099583995628687,0.28545585870993445,0.06405096133382827,0.0,76.45045839995146,2026-08-26T23:35:17.005450+00:00,1806733
kin8nm,map,1000,2,5898,1475,7373,128,47,47000,0.1749612227380428,-0.1749612227380428,0.2857750720512503,0.06823910423102333,0.0,76.359597499948,2026-08-26T23:36:33.387829+00:00,1806733
kin8nm,map,2000,0,5898,1475,7373,128,47,94000,0.13584066326684113,-0.13584066326684113,0.27549308657021543,0.06518244081990633,0.0,153.4047869000351,2026-08-26T23:39:06.816102+00:00,1806733
kin8nm,map,2000,1,5898,1475,7373,128,47,94000,0.13316516464906122,-0.13316516464906122,0.27355501597075566,0.06139134720668131,0.0,153.76720760005992,2026-08-26T23:41:40.606952+00:00,1806733
kin8nm,map,2000,2,5898,1475,7373,128,47,94000,0.16337758744322875,-0.16337758744322875,0.2826087460671021,0.0670400324037085,0.0,153.90925969998352,2026-08-26T23:44:14.539606+00:00,1806733
power_plant,map,50,0,6889,1722,8611,128,54,2700,-0.018728382247393077,0.018728382247393077,0.2372548118478496,0.05991451462791252,0.0,4.365590800065547,2026-08-26T23:44:18.951258+00:00,1806733
power_plant,map,50,1,6889,1722,8611,128,54,2700,-0.02588362267461187,0.02588362267461187,0.2356227048868705,0.058565418558953364,0.0,4.339027800015174,2026-08-26T23:44:23.313412+00:00,1806733
power_plant,map,50,2,6889,1722,8611,128,54,2700,-0.019996722804476286,0.019996722804476286,0.23658813352273678,0.06196471671166459,0.0,4.424894199939445,2026-08-26T23:44:27.762743+00:00,1806733
power_plant,map,100,0,6889,1722,8611,128,54,5400,-0.025361405995635217,0.025361405995635217,0.2357964100337778,0.05812675085584718,0.0,8.857536899973638,2026-08-26T23:44:36.643675+00:00,1806733
power_plant,map,100,1,6889,1722,8611,128,54,5400,-0.0019148285338415508,0.0019148285338415508,0.2414966408472689,0.05912202587445068,0.0,8.664265900035389,2026-08-26T23:44:45.331939+00:00,1806733
power_plant,map,100,2,6889,1722,8611,128,54,5400,-0.004683196116183529,0.004683196116183529,0.24082827739108134,0.057190460674278,0.0,8.717633299995214,2026-08-26T23:44:54.072438+00:00,1806733
power_plant,map,200,0,6889,1722,8611,128,54,10800,-0.015060219300142324,0.015060219300142324,0.23833553530007956,0.057812727836099705,0.0,17.672372599947266,2026-08-26T23:45:11.767170+00:00,1806733
power_plant,map,200,1,6889,1722,8611,128,54,10800,-0.02261495722559184,0.02261495722559184,0.2364984087118588,0.05777582026007462,0.0,17.414808899979107,2026-08-26T23:45:29.204412+00:00,1806733
power_plant,map,200,2,6889,1722,8611,128,54,10800,-0.03638352594369424,0.03638352594369424,0.23324674874971238,0.05644925668956666,0.0,17.387102300068364,2026-08-26T23:45:46.615327+00:00,1806733
power_plant,map,500,0,6889,1722,8611,128,54,27000,-0.03613837400922672,0.03613837400922672,0.233250301880791,0.05707926967360951,0.0,43.64056339999661,2026-08-26T23:46:30.279733+00:00,1806733
power_plant,map,500,1,6889,1722,8611,128,54,27000,-0.03651301677931563,0.03651301677931563,0.23306564064208019,0.05787423456797617,0.0,43.66488699999172,2026-08-26T23:47:13.968526+00:00,1806733
power_plant,map,500,2,6889,1722,8611,128,54,27000,-0.027377173120974364,0.027377173120974364,0.23543072298047907,0.05596119006786348,0.0,43.812494799960405,2026-08-26T23:47:57.804689+00:00,1806733
power_plant,map,1000,0,6889,1722,8611,128,54,54000,-0.04203749542432812,0.04203749542432812,0.23197862894986063,0.055079441513098175,0.0,87.44554589991458,2026-08-26T23:49:25.272985+00:00,1806733
power_plant,map,1000,1,6889,1722,8611,128,54,54000,-0.03944547580132931,0.03944547580132931,0.23257910026276304,0.05539774668122756,0.0,88.15539219998755,2026-08-26T23:50:53.450695+00:00,1806733
power_plant,map,1000,2,6889,1722,8611,128,54,54000,-0.03635251171795681,0.03635251171795681,0.23318872186262368,0.0571683002026955,0.0,88.455099600018,2026-08-26T23:52:21.928985+00:00,1806733
power_plant,map,2000,0,6889,1722,8611,128,54,108000,-0.02069667372617572,0.02069667372617572,0.23698285415680978,0.05488859834651435,0.0,177.6162913000444,2026-08-26T23:55:19.568607+00:00,1806733
power_plant,map,2000,1,6889,1722,8611,128,54,108000,-0.038160977656366425,0.038160977656366425,0.2327901149324453,0.056736025757633916,0.0,179.18434680008795,2026-08-26T23:58:18.776674+00:00,1806733
power_plant,map,2000,2,6889,1722,8611,128,54,108000,-0.03630552987594631,0.03630552987594631,0.23319845157225522,0.05718536045436074,0.0,176.64291699999012,2026-08-27T00:01:15.443797+00:00,1806733
