dataset,method,variant,dimension,split_index,n_train_full,n_train,n_removed,feature_n_distinct,gap_leak_fraction,n_gap_in,n_gap_out,mean_std_epi_gap_in,mean_std_epi_gap_out,epi_gap_ratio,rmse_gap_in,rmse_gap_out,ll_gap_in,ll_gap_out,picp95_gap_in,picp95_gap_out,timestamp,git_commit
concrete,map,control,6,4,927,617,310,302,0.0,27,76,0.0,0.0,,4.94419879482416,8.207272780988841,-3.6013650924208807,-6.576066566788253,0.7777777777777778,0.6447368421052632,2026-08-31T17:20:01.266907+00:00,1806733
concrete,map,control,7,4,927,617,310,14,0.1211631663974151,35,68,0.0,0.0,,10.384859385351698,5.429685432280271,-9.38244834172739,-3.950473891335476,0.6285714285714286,0.7058823529411765,2026-08-31T17:20:01.359705+00:00,1806733
concrete,laplace,gap,0,4,927,616,311,278,0.0032467532467532,32,71,4.475350830903135,2.7838127029605437,1.6076335976711602,7.02207717884009,7.920303482201212,-3.405720309632766,-3.842618778604805,0.84375,0.8028169014084507,2026-08-31T17:20:02.007876+00:00,1806733
concrete,laplace,gap,1,4,927,621,306,185,0.5040257648953301,37,66,4.695886478245464,2.897065696861817,1.6209112839008724,7.989077479181631,7.134753241892168,-3.61901299171268,-3.458713507446305,0.8648648648648649,0.8484848484848485,2026-08-31T17:20:03.548410+00:00,1806733
concrete,laplace,gap,2,4,927,617,310,156,0.5105348460291734,33,70,4.694126469335758,3.047561687070085,1.5402892381970696,9.256830206887136,6.78644393121512,-3.644035872370559,-3.279764091227769,0.8181818181818182,0.8571428571428571,2026-08-31T17:20:09.045481+00:00,1806733
concrete,laplace,gap,3,4,927,612,315,195,0.1339869281045751,28,75,5.711660769752944,2.8337007249351456,2.0156189111620693,8.70375047558898,7.201963718169843,-3.661369540741428,-3.4951131197478134,0.8214285714285714,0.8666666666666667,2026-08-31T17:20:09.192857+00:00,1806733
concrete,laplace,gap,4,4,927,620,307,111,0.5112903225806451,36,67,6.4791301227092895,2.7698807163300603,2.339136874924268,8.97376687705222,6.738071778452358,-3.4484481587540725,-3.2121576266587457,0.9444444444444444,0.8656716417910447,2026-08-31T17:20:11.365221+00:00,1806733
concrete,laplace,gap,5,4,927,620,307,284,0.0112903225806451,36,67,4.904124909867004,2.3382487603254694,2.09734951775806,10.040830974829818,7.342375059280813,-4.336761271581096,-3.792434766830988,0.8055555555555556,0.835820895522388,2026-08-31T17:20:13.892903+00:00,1806733
concrete,laplace,gap,6,4,927,611,316,302,0.0,27,76,4.496667297912938,2.235985937984144,2.011044533655214,7.788734532954662,6.78903282617371,-3.753425830772231,-3.449112009708033,0.8148148148148148,0.8026315789473685,2026-08-31T17:20:13.835175+00:00,1806733
concrete,laplace,gap,7,4,927,619,308,14,0.1211631663974151,35,68,3.816835117384386,2.7405294136786726,1.3927364173993535,11.855554212158353,5.9147480837923645,-4.119646636765079,-3.3281764700340126,0.7714285714285715,0.8529411764705882,2026-08-31T17:20:15.413767+00:00,1806733
concrete,laplace,control,0,4,927,617,310,278,0.0032467532467532,32,71,2.3868642937332405,2.8322538364294547,0.842743776363737,5.430560619441684,8.252711824134439,-3.2464377966477724,-3.892786011007132,0.8125,0.8028169014084507,2026-08-31T17:20:20.644208+00:00,1806733
concrete,laplace,control,1,4,927,617,310,185,0.5040257648953301,37,66,2.3030996653012057,2.912954426815309,0.7906404728134218,5.769504972634833,8.300876750288813,-3.670909346421625,-3.703790461464165,0.7837837837837838,0.8181818181818182,2026-08-31T17:20:20.719039+00:00,1806733
