dataset,method,seed,epoch,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit,on_grid
concrete,mcd,1,10,0.8163006139724223,-0.8163006139724223,0.4410678455240266,0.5625771156519338,0.0214400845007819,742,185,927,128,6,60,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,20,0.618741093949819,-0.618741093949819,0.3968005230080559,0.3273249496953853,0.0242561889918871,742,185,927,128,6,120,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,50,0.4013501886903416,-0.4013501886903416,0.3400410445666643,0.1718370005242972,0.0260533700061228,742,185,927,128,6,300,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,100,0.3424719293513942,-0.3424719293513942,0.3225666802787461,0.1448559301717788,0.0275537700304817,742,185,927,128,6,600,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,200,0.3009249469805101,-0.3009249469805101,0.3096859447006776,0.1314556842548508,0.0277974158998623,742,185,927,128,6,1200,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,500,0.2969219567417802,-0.2969219567417802,0.3122726935394124,0.1218617568903597,0.0288588404021165,742,185,927,128,6,3000,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,1000,0.2457225951890288,-0.2457225951890288,0.2906711968048112,0.11497173281549,0.0306407224797113,742,185,927,128,6,6000,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,2000,0.2485339958681748,-0.2485339958681748,0.2950642246629034,0.1093621832347206,0.0326597592465806,742,185,927,128,6,12000,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,5,1.0176794863434928,-1.0176794863434928,0.5723972904805307,0.8039576763487177,0.0135344143877977,742,185,927,128,6,30,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,10,0.8453543412419414,-0.8453543412419414,0.4632212430136883,0.587701060602484,0.0195508778612601,742,185,927,128,6,60,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,20,0.6338463105548375,-0.6338463105548375,0.4013955999410653,0.3375317364797436,0.0235412127909688,742,185,927,128,6,120,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,50,0.4233694266697015,-0.4233694266697015,0.3513381096636863,0.1721014209954066,0.0245445307781418,742,185,927,128,6,300,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,100,0.3876775656735337,-0.3876775656735337,0.3430006627984963,0.1501753195746519,0.0273192520818844,742,185,927,128,6,600,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,200,0.3159086839141217,-0.3159086839141217,0.31501655398041,0.1295952247522325,0.0312310056307787,742,185,927,128,6,1200,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,500,0.2931020051635701,-0.2931020051635701,0.3063689814859061,0.124022428229353,0.0307794801022206,742,185,927,128,6,3000,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,1000,0.2799961339320949,-0.2799961339320949,0.3027538209400383,0.11961478643738,0.0321389846173278,742,185,927,128,6,6000,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,2,2000,0.2696167360201699,-0.2696167360201699,0.299685414227735,0.1152869842663643,0.0336070302778447,742,185,927,128,6,12000,,False,2000,13.207632899982857,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,bbb,0,5,1.009588444126704,-1.009588444126704,0.5647896282923626,0.7829912043040482,0.0290737041199442,742,185,927,128,6,30,8.0,False,2000,81.66335909999907,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,bbb,0,10,0.8394509884769675,-0.8394509884769675,0.4541919229989192,0.5763972244792284,0.0331781517800885,742,185,927,128,6,60,8.0,False,2000,81.66335909999907,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,bbb,0,20,0.6342972091804914,-0.6342972091804914,0.3964615048670326,0.3398378683324496,0.0318830867057477,742,185,927,128,6,120,8.0,False,2000,81.66335909999907,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,bbb,0,50,0.4081390445235799,-0.4081390445235799,0.3441409821410141,0.174014036129696,0.0281551350459026,742,185,927,128,6,300,8.0,False,2000,81.66335909999907,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,bbb,0,100,0.3328143369262093,-0.3328143369262093,0.3296026997210369,0.1325352834027366,0.0238551005248581,742,185,927,128,6,600,8.0,False,2000,81.66335909999907,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,bbb,0,200,0.2629592214376994,-0.2629592214376994,0.3148738212649535,0.0945349062391063,0.0170100592256445,742,185,927,128,6,1200,8.0,False,2000,81.66335909999907,2026-08-27T09:49:57.132935+00:00,1806733,True
